SID,Run,Scheduled Onset(s),Actual Onset(s),Scheduled Onset(TR),Actual Onset(TR),Order,Section,Picture
20131104T121801,7,0,0.013417,0,0.0067083,12,A,A12_1
20131104T121801,7,2,2.0132,1,1.0066,12,A,Fixation
20131104T121801,7,2.5,2.5132,1.25,1.2566,12,A,A12_2
20131104T121801,7,4.5,4.513,2.25,2.2565,12,A,Fixation
20131104T121801,7,5,5.013,2.5,2.5065,12,A,A12_3
20131104T121801,7,7,7.0127,3.5,3.5064,12,A,Fixation
20131104T121801,7,7.5,7.5128,3.75,3.7564,12,A,A12_4
20131104T121801,7,9.5,9.5137,4.75,4.7568,12,A,Fixation
20131104T121801,7,10,10.0132,5,5.0066,12,A,A12_5
20131104T121801,7,12,12.0132,6,6.0066,12,A,Fixation
20131104T121801,7,18,18.0117,9,9.0058,12,B,B12_1
20131104T121801,7,20,20.0116,10,10.0058,12,B,Fixation
20131104T121801,7,20.5,20.5114,10.25,10.2557,12,B,B12_2
20131104T121801,7,22.5,22.5123,11.25,11.2561,12,B,Fixation
20131104T121801,7,23,23.0121,11.5,11.5061,12,B,B12_3
20131104T121801,7,25,25.0121,12.5,12.506,12,B,Fixation
20131104T121801,7,25.5,25.512,12.75,12.756,12,B,B12_4
20131104T121801,7,27.5,27.5109,13.75,13.7555,12,B,Fixation
20131104T121801,7,28,28.0109,14,14.0054,12,B,B12_5
20131104T121801,7,30,30.0106,15,15.0053,12,B,Fixation
20131104T121801,7,37,37.01,18.5,18.505,12,C,C12_1
20131104T121801,7,39,39.011,19.5,19.5055,12,C,Fixation
20131104T121801,7,39.5,39.5107,19.75,19.7553,12,C,C12_2
20131104T121801,7,41.5,41.5101,20.75,20.7551,12,C,Fixation
20131104T121801,7,42,42.0096,21,21.0048,12,C,C12_3
20131104T121801,7,44,44.0095,22,22.0047,12,C,Fixation
20131104T121801,7,44.5,44.5093,22.25,22.2546,12,C,C12_4
20131104T121801,7,46.5,46.5091,23.25,23.2545,12,C,Fixation
20131104T121801,7,47,47.0092,23.5,23.5046,12,C,C12_5
20131104T121801,7,49,49.0091,24.5,24.5045,12,C,Fixation
20131104T121801,7,,61.5001,,30.75,12,,End
20131104T121801,8,0,0.017089,0,0.0085446,10,A,A10_1
20131104T121801,8,2,2.018,1,1.009,10,A,Fixation
20131104T121801,8,2.5,2.5177,1.25,1.2588,10,A,A10_2
20131104T121801,8,4.5,4.5176,2.25,2.2588,10,A,Fixation
20131104T121801,8,5,5.0177,2.5,2.5089,10,A,A10_3
20131104T121801,8,7,7.0177,3.5,3.5089,10,A,Fixation
20131104T121801,8,7.5,7.5167,3.75,3.7584,10,A,A10_4
